"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)"
284.440613, 130.605469, 57.832031, 13.950892
Fillin, 171.914063, 104.589844, 30.412947
Fillin, -179.121094, 117.246094, 36.272320
335.932983, 145.810547, 140.273438, 45.200893
323.634277, 142.382813, 120.410156, 40.736607
327.268646, 140.800781, 128.847656, 58.593750
332.608093, 149.853516, 129.902344, 64.732140
355.405487, 169.277344, 153.808594, 69.754463
Fillin, 101.074219, 107.314453, 124.720985
272.751068, 119.970703, 46.230469, 0.000000
Fillin, 122.871094, 149.589844, 30.133928
Fillin, -163.564453, -151.611328, 46.595982
335.930359, 141.416016, 144.667969, 13.113839
381.455780, 174.902344, -162.421875, 21.205357
365.406281, 154.423828, -172.529297, 18.973215
358.007507, 144.316406, -176.396484, 28.459822
Fillin, -112.587891, -68.027344, 111.049110
274.991119, 124.189453, 46.230469, 18.415178
295.263428, 121.816406, 87.099609, 25.111607
334.537323, 163.212891, 120.234375, 39.341518
310.197662, 127.089844, 110.214844, 49.665180
345.414703, 155.917969, 148.183594, 37.109375
327.361053, 144.228516, 125.595703, 50.223213
349.093658, 158.818359, 152.226563, 51.897320
355.989838, 168.310547, 155.830078, 69.475449
352.712341, 157.939453, 159.960938, 76.450890
333.666656, 148.535156, 133.242188, 87.611610
352.333313, 167.958984, 149.238281, 97.098213
Fillin, 178.505859, 148.710938, 108.258926
313.888428, 129.023438, 115.136719, 20.926340
345.964417, 166.904297, 138.251953, 45.479912
346.851440, 154.511719, 152.314453, 47.433037
Fillin, -158.906250, 178.505859, 56.361607
Fillin, -175.869141, 164.355469, 120.256699
Fillin, 77.783203, 7.734375, 21.205357
362.659088, 152.402344, -175.605469, 26.785715
344.796082, 151.699219, 151.171875, 55.524555
307.295288, 133.593750, 98.173828, 45.200893
304.923767, 138.515625, 88.681641, 48.270088
362.513947, 169.541016, 166.992188, 53.850445
Fillin, -146.250000, -165.322266, 53.292412
345.449036, 148.007813, 156.181641, 71.428574
318.529907, 138.867188, 114.257813, 29.854910
336.463165, 150.732422, 136.318359, 49.944195
352.000366, 163.388672, 153.193359, 45.200893
356.242981, 160.400391, 164.179688, 55.245537
343.419556, 148.798828, 151.523438, 78.404015
