"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
376.859772, 154.072266, 146.337891, 561.662964, 0.082973, 0.082941
352.668915, 134.912109, 123.662109, 497.209808, 0.113975, 0.113935
443.887482, 176.835938, -120.585938, 202.008926, 0.366884, 0.366885
376.917053, 153.193359, 147.304688, 522.600464, 0.428099, 0.428071
415.952667, 166.992188, -159.082031, 218.191971, 0.486645, 0.486645
397.809174, 160.488281, 176.132813, 516.183044, 0.691673, 0.691635
358.273651, 142.294922, 125.947266, 232.421875, 0.750081, 0.750081
385.957214, 145.898438, 170.244141, 192.522324, 0.815723, 0.815723
343.814331, 132.451172, 110.830078, 488.560272, 1.087626, 1.087626
391.918152, 160.839844, 165.585938, 619.419617, 1.523492, 1.523495
367.871643, 152.841797, 132.011719, 558.314758, 1.689967, 1.689951
418.975586, 175.166016, -161.982422, 588.448669, 2.094697, 2.094650
401.765167, 157.412109, -174.023438, 632.254456, 2.146049, 2.146047
424.958099, 164.267578, -140.888672, 196.986603, 2.183105, 2.183103
416.184540, 165.761719, -157.412109, 582.310242, 2.215266, 2.215236
492.458069, -174.814453, -45.000000, 282.087067, 2.242561, 2.242559
427.160645, 173.759766, -146.425781, 207.868301, 2.341449, 2.341449
399.773621, 152.753906, -172.792969, 604.352661, 2.403465, 2.403465
488.869476, -155.214844, -70.839844, 212.611603, 2.506684, 2.506686
409.527405, 169.716797, -172.880859, 581.194214, 2.620838, 2.620874
447.400940, 178.417969, -116.103516, 195.033478, 2.640594, 2.640594
428.538971, 172.529297, -142.822266, 354.352692, 2.821527, 2.821523
390.690369, 160.839844, 163.476563, 274.832581, 3.197080, 3.197079
508.837280, -157.412109, -34.101563, 210.100449, 3.278307, 3.278308
552.023499, -137.900391, 21.093750, 470.982147, 3.279048, 3.279047
483.708038, -167.080078, -67.851563, 294.642853, 3.285771, 3.285769
583.361023, -133.417969, 70.839844, 386.439728, 3.499296, 3.499297
479.697571, -169.980469, -71.894531, 607.700867, 3.546252, 3.546280
399.875183, 167.871094, 172.265625, 283.482147, 3.601151, 3.601146
495.213806, -165.761719, -49.306641, 595.982117, 3.701759, 3.701739
514.371643, -153.632813, -28.300781, 535.435242, 3.991837, 3.991837
403.953522, 154.423828, -167.255859, 503.906250, 4.142082, 4.142081
394.196716, 167.343750, 163.037109, 209.542404, 4.543613, 4.543616
364.873535, 149.501953, 130.166016, 479.631683, 4.573490, 4.573462
371.687653, 158.466797, 132.978516, 554.966492, 5.080271, 5.080220
394.896912, 175.869141, 155.742188, 218.470978, 5.282633, 5.282632
532.595825, -137.724609, -12.656250, 256.696442, 5.291644, 5.291646
456.958618, 171.035156, -92.197266, 504.743317, 5.391400, 5.391398
351.255981, 137.460938, 118.652344, 544.363831, 5.485027, 5.484984
367.014862, 136.142578, 147.216797, 232.421875, 5.690366, 5.690365
363.363251, 137.812500, 139.218750, 81.473213, 5.746805, 5.746802
391.610138, 156.181641, 169.716797, 505.859375, 5.874825, 5.874834
368.482422, 147.041016, 138.867188, 500.558044, 5.903100, 5.903057
393.943085, 164.531250, 165.410156, 520.647339, 6.056335, 6.056299
409.289581, 169.453125, -173.056641, 157.645096, 6.275776, 6.275779
378.563110, 147.041016, 156.269531, 505.022308, 6.278836, 6.278822
388.448822, 159.785156, 160.664063, 513.113831, 6.310057, 6.310040
397.346558, 167.607422, 168.222656, 480.468750, 6.402336, 6.402300
376.126404, 145.019531, 154.072266, 174.386154, 6.405262, 6.405263
388.297546, 172.441406, 147.744141, 89.006699, 6.428348, 6.428348
