C:\Documents and Settings\Amirreza Amighi\Desktop\Brooks\Experiments\PDPA\Brooks_PDPA\1mm splash\110.7-1522\267
"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
244.534042, 99.052734, -5.097656, 293.805817, 0.000200, 0.000191
269.739838, 118.916016, 20.566406, 460.937500, 0.000418, 0.000409
253.180756, 102.832031, 6.767578, 320.591522, 0.000638, 0.000642
265.011566, 120.498047, 10.458984, 270.647308, 0.000861, 0.000862
277.294800, 129.199219, 23.906250, 164.620529, 0.000871, 0.000872
268.613647, 112.148438, 25.312500, 275.948669, 0.001091, 0.001088
251.048981, 105.292969, 0.439453, 308.872772, 0.001311, 0.001300
241.978622, 96.767578, -7.382813, 637.276794, 0.001489, 0.001498
256.114777, 105.732422, 9.140625, 313.337067, 0.001525, 0.001526
252.177444, 110.478516, -2.812500, 592.633911, 0.001712, 0.001727
260.649933, 109.511719, 13.535156, 442.243317, 0.001952, 0.001951
278.465698, 120.673828, 34.541016, 290.457581, 0.001968, 0.001966
268.015106, 115.312500, 21.005859, 177.176346, 0.002420, 0.002415
252.415939, 99.580078, 8.613281, 194.754471, 0.002647, 0.002636
254.111496, 97.031250, 14.238281, 222.098221, 0.002857, 0.002834
262.113312, 120.058594, 5.625000, 161.551346, 0.002865, 0.002858
234.657471, 90.000000, -13.886719, 695.312500, 0.003051, 0.003048
267.204620, 124.277344, 10.634766, 185.267853, 0.003305, 0.003302
254.711334, 103.271484, 9.052734, 554.687500, 0.003516, 0.003522
270.517242, 125.244141, 15.644531, 599.330383, 0.003722, 0.003719
267.939270, 122.167969, 14.062500, 435.267853, 0.003952, 0.003954
265.401062, 118.652344, 13.007813, 267.299103, 0.003962, 0.003959
256.598999, 100.283203, 15.468750, 258.928558, 0.004408, 0.004404
251.648804, 104.062500, 2.724609, 570.870544, 0.004620, 0.004622
227.621552, 83.935547, -20.478516, 622.209839, 0.004812, 0.004824
266.925720, 115.224609, 19.160156, 245.256699, 0.004857, 0.004857
250.372604, 102.832031, 1.669922, 471.819183, 0.005052, 0.005051
274.847046, 120.234375, 28.476563, 192.243301, 0.005077, 0.005075
257.366486, 110.214844, 6.943359, 468.191956, 0.005488, 0.005495
237.176147, 105.908203, -25.224609, 414.062500, 0.005683, 0.005694
257.372772, 121.113281, -3.955078, 268.415192, 0.005723, 0.005722
280.013855, 127.792969, 30.234375, 339.564728, 0.005963, 0.005960
272.810669, 118.476563, 26.542969, 225.446426, 0.005981, 0.005977
252.070145, 95.888672, 11.689453, 181.640625, 0.006183, 0.006178
252.423874, 99.492188, 8.701172, 388.950897, 0.006834, 0.006838
263.272919, 119.443359, 8.349609, 202.008926, 0.006856, 0.006852
239.411591, 92.988281, -8.261719, 602.120544, 0.007034, 0.007027
258.022980, 100.195313, 18.105469, 271.205353, 0.007059, 0.007053
258.297241, 114.785156, 4.042969, 175.781250, 0.007289, 0.007285
251.682266, 99.667969, 7.207031, 440.569183, 0.007507, 0.007514
267.363586, 119.355469, 15.820313, 294.084808, 0.007726, 0.007729
257.187286, 109.599609, 7.207031, 642.578125, 0.007941, 0.007922
241.803711, 93.955078, -4.921875, 536.830383, 0.008148, 0.008143
245.850006, 94.306641, 2.021484, 355.189728, 0.008169, 0.008169
265.251373, 103.095703, 28.300781, 194.475449, 0.008177, 0.008178
264.114258, 107.666016, 21.621094, 268.136169, 0.008390, 0.008363
260.587677, 110.302734, 12.656250, 316.406250, 0.008829, 0.008824
259.636047, 120.058594, 1.142578, 518.694214, 0.009030, 0.009036
256.119080, 108.105469, 6.767578, 422.154022, 0.009047, 0.009054
265.372253, 120.322266, 11.250000, 197.544647, 0.009065, 0.009063
275.537994, 126.562500, 23.378906, 178.850449, 0.009276, 0.009276
252.714371, 98.173828, 10.546875, 142.299103, 0.009279, 0.009279
185.503586, 71.015625, -83.583984, 144.252228, 0.009404, 0.009406
215.613846, 98.876953, -57.128906, 129.464279, 0.009424, 0.009422
213.550308, 89.296875, -51.240234, 342.912933, 0.009623, 0.009634
241.913681, 111.357422, -22.148438, 203.404022, 0.010061, 0.010056
249.694565, 114.169922, -10.898438, 527.064758, 0.010230, 0.010243
245.623764, 100.019531, -4.130859, 354.352692, 0.010580, 0.010580
262.351776, 110.654297, 15.468750, 272.600433, 0.010594, 0.010591
258.976898, 117.861328, 2.197266, 537.667419, 0.011045, 0.011023
244.523102, 90.351563, 3.603516, 175.502228, 0.011061, 0.011058
260.720825, 112.939453, 10.283203, 296.316956, 0.011267, 0.011264
273.491974, 123.837891, 22.412109, 177.734375, 0.011280, 0.011276
267.268219, 121.201172, 13.798828, 565.011169, 0.011482, 0.011485
263.616089, 116.279297, 12.128906, 333.426331, 0.011715, 0.011707
251.941299, 97.734375, 9.580078, 212.611603, 0.011940, 0.011941
261.851318, 113.203125, 12.041016, 412.946442, 0.012156, 0.012161
276.568115, 125.332031, 26.455078, 308.593750, 0.012603, 0.012596
274.389252, 125.332031, 22.500000, 513.950867, 0.012795, 0.012802
257.889496, 110.830078, 7.294922, 385.044647, 0.013028, 0.013028
263.206360, 111.093750, 16.611328, 213.727676, 0.013046, 0.013042
256.368805, 103.886719, 11.425781, 206.752228, 0.013487, 0.013482
249.389191, 97.646484, 5.097656, 289.341522, 0.013708, 0.013700
244.958023, 97.734375, -2.988281, 515.346008, 0.013925, 0.013925
254.572571, 107.402344, 4.658203, 547.991089, 0.014128, 0.014122
251.339447, 96.416016, 9.843750, 243.024551, 0.014372, 0.014365
244.236267, 105.732422, -12.304688, 687.778992, 0.014578, 0.014585
266.183105, 121.113281, 11.953125, 511.160706, 0.015024, 0.015027
254.361908, 96.240234, 15.468750, 266.462067, 0.015035, 0.015036
252.501099, 106.787109, 1.669922, 126.953125, 0.015048, 0.015046
240.592087, 109.511719, -22.675781, 627.232117, 0.015216, 0.015227
259.272369, 113.027344, 7.558594, 278.180817, 0.015692, 0.015692
266.885315, 117.861328, 16.435547, 487.444183, 0.015892, 0.015879
272.960022, 125.244141, 20.039063, 300.781250, 0.015910, 0.015906
269.513580, 118.125000, 20.917969, 179.129471, 0.016368, 0.016364
254.555359, 87.714844, 24.345703, 432.756683, 0.016539, 0.016556
262.199768, 118.212891, 7.646484, 521.205383, 0.016781, 0.016771
264.877075, 113.730469, 16.962891, 225.725449, 0.016803, 0.016803
276.268341, 122.871094, 28.388672, 187.500000, 0.016811, 0.016807
252.814743, 113.115234, -4.218750, 607.700867, 0.017232, 0.017241
275.533691, 127.705078, 22.236328, 636.439758, 0.017442, 0.017451
260.798004, 111.445313, 11.865234, 292.131683, 0.017473, 0.017477
261.074585, 113.554688, 10.283203, 489.118317, 0.017902, 0.017908
253.724960, 97.646484, 12.919922, 146.205353, 0.017920, 0.017918
263.220947, 116.630859, 11.074219, 553.571411, 0.018134, 0.018134
275.594971, 119.003906, 31.025391, 270.368317, 0.018359, 0.018353
247.489594, 102.480469, -3.164063, 555.803589, 0.019005, 0.019005
268.417908, 110.566406, 26.542969, 345.703125, 0.019246, 0.019242
281.671997, 126.738281, 34.277344, 201.450897, 0.019260, 0.019258
260.835449, 120.498047, 2.900391, 438.616058, 0.019690, 0.019689
243.110092, 95.976563, -4.570313, 602.120544, 0.020338, 0.020340
247.351791, 91.933594, 7.119141, 141.741074, 0.020358, 0.020353
243.570160, 110.039063, -17.841797, 595.982117, 0.020533, 0.020539
230.900711, 90.351563, -20.917969, 554.687500, 0.020759, 0.020761
261.371674, 110.390625, 13.974609, 195.591522, 0.020793, 0.020795
252.720337, 112.412109, -3.691406, 634.486633, 0.020974, 0.020981
259.083893, 111.621094, 8.613281, 190.290176, 0.021013, 0.021011
271.777557, 124.628906, 18.544922, 208.984375, 0.021241, 0.021238
214.084244, 87.099609, -48.076172, 217.075897, 0.021580, 0.021591
259.909302, 114.169922, 7.558594, 308.314728, 0.021905, 0.021901
242.079300, 95.976563, -6.503906, 343.750000, 0.022110, 0.022113
262.003998, 114.082031, 11.425781, 288.225433, 0.022355, 0.022352
258.994141, 106.435547, 13.623047, 381.696442, 0.022543, 0.022540
260.781769, 107.666016, 15.644531, 215.401779, 0.022564, 0.022557
256.263153, 110.390625, 4.746094, 578.403992, 0.022765, 0.022751
255.435410, 110.390625, 3.251953, 291.294647, 0.022781, 0.022776
230.649963, 100.195313, -31.289063, 619.419617, 0.022968, 0.022973
267.564331, 118.828125, 16.699219, 341.517853, 0.023006, 0.022999
268.970398, 116.982422, 21.093750, 456.752228, 0.023224, 0.023205
247.052368, 96.591797, 1.933594, 381.138397, 0.023447, 0.023444
265.453735, 120.058594, 11.689453, 602.957581, 0.023658, 0.023667
255.801758, 120.673828, -6.328125, 347.935272, 0.023821, 0.023834
233.531311, 111.269531, -37.177734, 233.816971, 0.024055, 0.024055
260.291229, 107.314453, 15.117188, 374.441956, 0.024359, 0.024365
266.787262, 102.480469, 31.640625, 341.796875, 0.024387, 0.024387
295.339478, 134.912109, 50.800781, 500.837067, 0.024575, 0.024595
253.583511, 97.119141, 13.183594, 174.944199, 0.024631, 0.024630
266.400391, 117.509766, 15.908203, 288.504456, 0.024762, 0.024765
271.795105, 116.103516, 27.070313, 292.131683, 0.024776, 0.024777
252.862747, 116.103516, -7.119141, 236.049103, 0.024974, 0.024975
250.164597, 96.503906, 7.646484, 490.792419, 0.025201, 0.025194
271.736145, 120.761719, 22.324219, 250.558029, 0.025225, 0.025219
269.653381, 120.322266, 18.984375, 157.924103, 0.025231, 0.025228
248.162323, 103.007813, -2.460938, 419.642853, 0.025420, 0.025414
245.538986, 103.095703, -7.294922, 257.254456, 0.025437, 0.025430
252.935333, 112.851563, -3.691406, 589.285706, 0.025617, 0.025628
264.337830, 110.126953, 19.599609, 220.982147, 0.025661, 0.025658
257.337311, 102.041016, 15.029297, 250.279022, 0.025883, 0.025880
267.807434, 114.169922, 21.796875, 156.808029, 0.026109, 0.026105
270.177063, 123.134766, 17.138672, 230.468750, 0.026331, 0.026323
266.493134, 120.058594, 13.535156, 413.783478, 0.026541, 0.026534
262.977142, 110.390625, 16.875000, 407.366058, 0.026762, 0.026758
262.876801, 110.917969, 16.171875, 484.654022, 0.026976, 0.026975
263.381561, 119.091797, 8.876953, 188.337051, 0.026988, 0.026987
260.066315, 110.214844, 11.777344, 371.651794, 0.027211, 0.027212
275.318695, 114.609375, 34.892578, 185.546875, 0.027225, 0.027219
255.492065, 100.019531, 13.710938, 330.636169, 0.028089, 0.028093
265.308350, 125.947266, 5.537109, 161.551346, 0.028103, 0.028098
