C:\Documents and Settings\Amirreza Amighi\Desktop\Brooks\Experiments\PDPA\Brooks_PDPA\1mm splash\sizer test\324
"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
365.813446, 152.490234, 145.283203, 50.781250, 0.128146, 0.128145
294.707581, 114.873047, 56.777344, 5.859375, 0.133024, 0.133023
389.693268, 160.664063, 179.560547, 12.276786, 0.149902, 0.149901
360.512817, 159.082031, 129.287109, 18.973215, 0.237000, 0.237000
399.336456, 170.771484, -173.583984, 33.761162, 0.243354, 0.243355
392.376251, 173.935547, 171.035156, 23.437500, 0.267196, 0.267196
390.342590, 163.388672, 177.890625, 83.705360, 0.494798, 0.494799
317.979401, 134.384766, 78.574219, 37.388393, 0.889359, 0.889357
321.131683, 127.968750, 90.527344, 33.761162, 0.922375, 0.922373
336.281982, 127.177734, 118.212891, 64.174110, 0.979269, 0.979269
286.979523, 117.773438, 40.166016, 6.696429, 0.998889, 0.998888
324.679413, 127.089844, 97.734375, 101.283485, 1.016496, 1.016494
329.106201, 129.726563, 102.919922, 84.263390, 1.057207, 1.057204
287.675751, 112.675781, 46.494141, 54.129463, 1.170256, 1.170258
288.072906, 112.675781, 47.197266, 148.716522, 1.185044, 1.185045
321.522552, 145.283203, 73.916016, 26.506697, 1.202542, 1.202545
315.117157, 115.751953, 92.109375, 279.854919, 1.238406, 1.238406
309.591217, 126.914063, 71.103516, 75.334824, 1.246799, 1.246798
315.621063, 119.179688, 89.560547, 50.223213, 1.278395, 1.278396
309.501251, 118.037109, 79.804688, 75.892860, 1.279812, 1.279813
307.534027, 142.294922, 52.031250, 25.111607, 1.303673, 1.303672
312.152557, 145.019531, 57.568359, 48.549107, 1.326145, 1.326147
286.473358, 117.246094, 39.726563, 36.830357, 1.446926, 1.446924
321.049316, 131.396484, 87.011719, 30.412947, 1.448326, 1.448328
313.002045, 133.857422, 70.224609, 81.473213, 1.468701, 1.468704
312.812042, 129.462891, 74.267578, 45.479912, 1.481332, 1.481333
294.322540, 122.343750, 48.603516, 45.479912, 1.492578, 1.492577
291.181946, 108.281250, 57.041016, 178.571426, 1.512962, 1.512962
282.290710, 116.367188, 33.222656, 37.946430, 1.528387, 1.528386
311.407288, 132.802734, 68.466797, 65.848213, 1.583867, 1.583867
275.257721, 114.521484, 22.587891, 83.984375, 1.600019, 1.600020
279.988831, 114.697266, 30.849609, 13.392858, 1.612638, 1.612640
283.427338, 111.708984, 39.902344, 26.785715, 1.790305, 1.790306
285.228577, 110.478516, 44.296875, 114.955360, 2.474329, 2.474328
281.345001, 110.390625, 37.529297, 47.712055, 2.531888, 2.531890
552.766418, -150.556641, 59.853516, 15.625000, 3.118236, 3.118234
289.673950, 114.345703, 48.339844, 71.986610, 4.916748, 4.916749
314.330475, 146.513672, 59.941406, 90.122765, 4.919561, 4.919561
279.275909, 111.445313, 32.783203, 23.716518, 4.928673, 4.928674
297.508484, 119.970703, 56.601563, 44.921875, 4.929377, 4.929377
283.064575, 116.542969, 34.453125, 37.946430, 4.937108, 4.937110
319.020538, 138.779297, 75.937500, 41.573662, 4.949048, 4.949047
272.329407, 112.851563, 19.072266, 153.738846, 4.973647, 4.973646
295.568909, 131.044922, 42.099609, 37.109375, 5.000311, 5.000311
288.985870, 113.818359, 47.636719, 46.595982, 5.047366, 5.047366
328.791351, 148.798828, 83.320313, 124.162949, 5.074074, 5.074075
282.601654, 105.380859, 44.736328, 45.200893, 5.076161, 5.076161
315.944794, 127.089844, 82.177734, 83.984375, 5.076172, 5.076173
297.005768, 120.234375, 55.458984, 29.575893, 5.077564, 5.077563
321.425140, 146.865234, 72.158203, 55.524555, 5.113386, 5.113384
310.357452, 119.531250, 79.804688, 40.178570, 5.165366, 5.165365
335.386963, 127.529297, 116.279297, 54.408482, 5.168182, 5.168181
288.685181, 102.128906, 58.798828, 21.205357, 6.046109, 6.046107
331.337158, 125.683594, 110.917969, 19.810268, 6.980219, 6.980218
291.954407, 120.234375, 46.494141, 27.901785, 6.985144, 6.985146
310.097931, 143.173828, 55.722656, 14.508928, 7.173363, 7.173364
280.217682, 108.720703, 37.177734, 22.321428, 7.221822, 7.221819
288.842621, 122.783203, 38.408203, 86.774551, 7.766108, 7.766107
297.056671, 131.660156, 44.121094, 53.013393, 7.886216, 7.886215
295.586151, 126.123047, 47.021484, 109.375000, 7.888331, 7.888329
350.344971, 150.292969, 120.058594, 64.174110, 7.896740, 7.896741
261.636139, 98.964844, 13.886719, 26.785715, 8.039996, 8.039995
292.714111, 112.412109, 55.634766, 138.113846, 8.154524, 8.154523
278.047455, 114.082031, 27.949219, 28.459822, 8.332173, 8.332176
287.003052, 115.839844, 42.099609, 30.691965, 8.410099, 8.410100
299.002960, 127.705078, 51.591797, 25.669643, 8.543541, 8.543542
321.909088, 148.535156, 71.279297, 38.783482, 8.723293, 8.723294
313.903564, 133.505859, 72.158203, 52.176338, 8.738759, 8.738763
307.672363, 138.076172, 56.513672, 89.285713, 8.893972, 8.893970
292.619476, 111.269531, 56.601563, 43.805805, 8.924143, 8.924141
305.872986, 125.771484, 65.654297, 165.457596, 8.962100, 8.962099
279.829376, 111.708984, 33.486328, 32.366070, 9.095499, 9.095498
279.108704, 107.226563, 36.738281, 48.270088, 9.162915, 9.162915
312.578156, 132.802734, 70.488281, 10.881697, 9.173435, 9.173433
303.538574, 130.693359, 56.601563, 99.051338, 9.185385, 9.185386
286.911682, 118.037109, 39.726563, 42.131695, 9.207144, 9.207144
288.152954, 108.896484, 51.064453, 30.412947, 9.303350, 9.303349
311.813782, 141.416016, 60.556641, 58.593750, 9.334974, 9.334974
265.743805, 101.513672, 18.720703, 95.982140, 9.422741, 9.422743
308.912476, 135.175781, 61.611328, 85.100449, 9.509818, 9.509822
289.031219, 117.070313, 44.472656, 155.133926, 9.529496, 9.529494
301.063690, 121.376953, 61.523438, 34.598213, 9.644643, 9.644644
292.253448, 133.066406, 34.189453, 7.254464, 10.095559, 10.095557
283.793396, 110.126953, 42.099609, 96.261162, 10.119458, 10.119456
291.239410, 119.443359, 45.966797, 17.857143, 10.122248, 10.122247
299.712433, 126.826172, 53.701172, 25.669643, 10.497171, 10.497172
257.682617, 111.181641, -5.361328, 0.837054, 10.557528, 10.557529
312.951355, 136.494141, 67.500000, 132.533478, 10.584981, 10.584981
316.482391, 125.683594, 84.550781, 155.970978, 10.599026, 10.599028
278.164917, 102.304688, 39.902344, 26.785715, 10.693823, 10.693823
277.504272, 106.083984, 34.980469, 77.008926, 10.702966, 10.702967
297.154114, 115.839844, 60.117188, 86.774551, 10.714899, 10.714898
299.497620, 118.916016, 61.171875, 183.314728, 10.754952, 10.754951
314.831116, 131.484375, 75.849609, 65.848213, 10.928390, 10.928391
296.758575, 130.605469, 44.648438, 52.455357, 10.950165, 10.950163
281.858917, 122.431641, 26.367188, 24.832590, 11.115161, 11.115159
273.116516, 99.492188, 33.837891, 90.401787, 11.136237, 11.136238
253.422333, 87.978516, 10.283203, 2.790179, 11.225352, 11.225352
335.920380, 148.007813, 96.767578, 163.225449, 11.312499, 11.312502
281.019928, 114.345703, 32.958984, 91.238838, 11.478223, 11.478226
268.200317, 102.041016, 22.500000, 16.462053, 11.553349, 11.553350
315.234589, 133.945313, 74.091797, 34.319195, 11.739457, 11.739458
321.831604, 149.677734, 70.048828, 66.127235, 11.786530, 11.786530
238.178574, 87.978516, -16.787109, 0.000000, 11.907945, 11.907943
295.706787, 135.791016, 37.617188, 80.357140, 11.914322, 11.914323
298.345367, 135.791016, 42.275391, 54.408482, 11.938181, 11.938181
278.166229, 113.906250, 28.388672, 65.569199, 12.044217, 12.044220
266.786713, 106.083984, 15.996094, 14.787947, 12.076501, 12.076500
265.970734, 119.970703, 0.703125, 0.000000, 12.194400, 12.194400
278.206055, 103.271484, 39.023438, 17.299107, 12.242162, 12.242160
292.536255, 115.751953, 51.943359, 15.066964, 12.785632, 12.785630
330.724396, 144.052734, 91.494141, 74.776787, 12.864285, 12.864284
311.264984, 129.726563, 71.279297, 43.805805, 12.872732, 12.872732
325.005646, 138.691406, 86.748047, 38.504463, 12.967495, 12.967496
339.383362, 134.296875, 116.542969, 32.366070, 12.991365, 12.991364
271.938538, 97.910156, 33.310547, 163.783478, 13.046213, 13.046214
346.007782, 137.812500, 124.804688, 70.033485, 13.218916, 13.218916
327.899323, 130.781250, 99.755859, 89.006699, 13.313022, 13.313021
319.651398, 145.986328, 69.873047, 341.517853, 13.379060, 13.379059
376.757202, 153.896484, 163.300781, 37.667412, 13.455561, 13.455561
289.681854, 122.783203, 39.902344, 22.042410, 13.506091, 13.506093
333.607147, 142.558594, 98.085938, 369.977692, 13.590452, 13.590453
317.300629, 127.441406, 84.287109, 153.459824, 13.666271, 13.666273
302.120819, 126.386719, 58.359375, 155.412949, 13.685946, 13.685952
324.657623, 138.867188, 85.869141, 92.354912, 13.747733, 13.747733
311.062469, 133.769531, 66.884766, 159.040176, 13.861509, 13.861511
312.659515, 127.792969, 75.673828, 123.046875, 13.916279, 13.916277
317.402252, 141.064453, 70.839844, 167.131699, 13.966831, 13.966833
348.909302, 157.587891, 110.214844, 36.830357, 14.543941, 14.543939
367.337891, 158.642578, 141.855469, 49.386162, 14.560098, 14.560096
309.544006, 134.472656, 63.457031, 78.125000, 14.758831, 14.758831
317.466461, 135.791016, 76.201172, 49.386162, 14.813580, 14.813579
367.875061, 165.761719, 135.703125, 83.147324, 14.830460, 14.830458
306.576202, 122.167969, 70.488281, 213.448654, 14.856461, 14.856462
315.143677, 113.642578, 94.218750, 61.941963, 14.865554, 14.865555
326.634369, 142.382813, 85.869141, 89.006699, 14.906987, 14.906990
308.244141, 133.681641, 61.962891, 58.593750, 14.913999, 14.913997
326.244354, 143.261719, 84.375000, 34.598213, 14.941371, 14.941371
286.336182, 123.662109, 33.046875, 30.133928, 14.941380, 14.941381
318.370361, 142.207031, 71.367188, 12.276786, 14.949087, 14.949085
284.866974, 107.666016, 46.494141, 64.732140, 14.963162, 14.963161
310.383698, 125.595703, 73.828125, 59.709820, 14.973687, 14.973687
336.536407, 153.105469, 92.724609, 134.765625, 14.991268, 14.991266
324.225128, 143.261719, 80.683594, 34.877232, 15.040385, 15.040383
307.253082, 130.693359, 63.193359, 36.551338, 15.048115, 15.048117
321.570679, 139.482422, 79.804688, 160.156250, 15.048138, 15.048138
320.437805, 134.912109, 82.353516, 141.741074, 15.060777, 15.060774
294.223694, 118.652344, 52.119141, 95.424110, 15.061473, 15.061473
292.032959, 130.605469, 36.298828, 25.390625, 15.118328, 15.118327
304.476379, 123.750000, 65.214844, 153.738846, 15.189290, 15.189289
307.614716, 131.748047, 62.753906, 102.957588, 15.212450, 15.212449
282.361664, 108.017578, 41.660156, 62.779018, 15.250374, 15.250374
304.982147, 117.333984, 72.509766, 67.801338, 15.272840, 15.272843
285.573456, 111.884766, 43.505859, 61.383930, 15.339549, 15.339549
297.780518, 118.125000, 58.974609, 23.716518, 15.346562, 15.346563
285.058807, 100.019531, 54.492188, 22.879465, 15.362711, 15.362713
304.454773, 136.669922, 52.207031, 94.308037, 15.388717, 15.388717
292.481293, 115.400391, 52.294922, 170.758926, 15.390139, 15.390138
322.861725, 136.318359, 85.253906, 39.062500, 15.424515, 15.424515
281.132202, 112.851563, 34.716797, 29.854910, 15.440666, 15.440666
283.721039, 117.421875, 34.716797, 106.584824, 15.443494, 15.443493
299.885712, 115.927734, 64.863281, 44.084820, 15.560060, 15.560061
283.732208, 110.390625, 41.748047, 59.988838, 15.567080, 15.567084
276.497375, 107.490234, 31.816406, 72.823662, 15.574804, 15.574805
310.826447, 118.564453, 81.650391, 68.917412, 15.604306, 15.604308
300.666290, 135.791016, 46.406250, 133.370529, 15.644340, 15.644339
271.890381, 98.437500, 32.695313, 190.569199, 15.729322, 15.729324
301.521362, 128.408203, 55.283203, 52.455357, 15.736316, 15.736315
301.221375, 125.771484, 57.392578, 44.363838, 15.764410, 15.764409
299.644104, 130.957031, 49.394531, 90.680801, 15.781978, 15.781980
288.314728, 105.292969, 55.019531, 120.535713, 15.789714, 15.789712
312.170258, 121.728516, 80.859375, 50.781250, 15.829723, 15.829728
312.192322, 146.777344, 55.898438, 193.080353, 15.849399, 15.849397
274.323883, 106.962891, 28.476563, 23.158482, 15.864121, 15.864123
276.093201, 105.996094, 32.607422, 33.203125, 15.864827, 15.864827
294.934113, 123.486328, 48.515625, 140.904022, 15.894338, 15.894340
